HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,dosage_value,dosage_unit
90371,Hep b ig im,1 ML,137.828,20.0,,,,,,,1.0,ML
90375,Rabies ig im/sc,150 IU,279.949,20.0,,,,,,,150.0,IU
90377,Rabies ig ht&sol human im/sc,150 IU,240.133,20.0,,,,,,,150.0,IU
90586,Bcg vaccine intravesical,1 EACH,163.971,20.0,,,,,,,,NAN
90632,Hepa vaccine adult im,1 ML,73.542,20.0,,,,,,,1.0,ML
90653,Iiv adjuvant vaccine im,0.5 ML,98.16,0.0,95.0,98.16,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,0.5,ML
90656,IIV3 VACC NO PRSV 0.5 ML IM,0.5 ML,23.215,0.0,95.0,23.215,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,0.5,ML
90657,IIV3 VACCINE SPLT 0.25 ML IM,0.25 ML,11.034,0.0,95.0,11.034,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,0.25,ML
90658,IIV3 VACCINE SPLT 0.5 ML IM,0.5 ML,22.069,0.0,95.0,22.069,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,0.5,ML
90660,LAIV3 Vaccine Intranasal,0.2 ML,29.714,0.0,95.0,29.714,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,0.2,ML
90661,CCIIV3 VACCINE NO PRSC 0.5ML IM,0.5 ML,49.495,0.0,95.0,49.495,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,0.5,ML
90662,Iiv no prsv increased ag im,0.5 ML,98.16,0.0,95.0,98.16,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,0.5,ML
90671,PCV15 vaccine IM,1 EA,269.306,0.0,95.0,269.306,,,,,,NAN
90673,Riv3 vaccine no preserv im,0.5 ML,98.16,0.0,95.0,98.16,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,0.5,ML
90675,Rabies vaccine im,1 ML,319.748,20.0,,,,,,,1.0,ML
90677,Pcv20 vaccine im,0.5 ML,312.902,0.0,95.0,312.902,,,,,0.5,ML
90684,PCV21 VACCINE IM,0.5 ML,344.252,0.0,95.0,344.252,,,,,0.5,ML
90714,Td vacc no presv 7 yrs+ im,0.5 ML,38.972,20.0,,,,,,,0.5,ML
90715,Tdap vaccine 7 yrs/> im,0.5 ML,39.69,20.0,,,,,,,0.5,ML
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,0.0,95.0,133.472,,,,,0.5,ML
90739,Hepb vacc 2 dose adult im,1 DOSE,177.555,0.0,95.0,177.555,,,,,,NAN
90740,Hepb vacc 3 dose immunsup im,40 MCG,164.422,0.0,95.0,164.422,,,,,1.0,ML
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,75.145,0.0,95.0,75.145,,,,,,NAN
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,33.204,0.0,95.0,33.204,,,,,,NAN
90746,Hepb vaccine 3 dose adult im,20 MCG,75.145,0.0,95.0,75.145,,,,,20.0,MCG
90747,Hepb vacc 4 dose immunsup im,40 MCG,164.422,0.0,95.0,164.422,,,,,40.0,MCG
